Price,Close,High,Low,Open,Volume
Ticker,HON,HON,HON,HON,HON
Datetime,,,,,
2025-11-05 14:30:00+00:00,196.6750030517578,196.6750030517578,196.13999938964844,196.17999267578125,41638
2025-11-05 14:31:00+00:00,196.6999969482422,196.6999969482422,196.64999389648438,196.64999389648438,2289
2025-11-05 14:32:00+00:00,197.16749572753906,197.44749450683594,196.64999389648438,196.64999389648438,6754
2025-11-05 14:33:00+00:00,197.2449951171875,197.2449951171875,196.9949951171875,197.1199951171875,3471
2025-11-05 14:34:00+00:00,197.01699829101562,197.25,196.8699951171875,197.2449951171875,5013
2025-11-05 14:35:00+00:00,197.17999267578125,197.25,196.97999572753906,197.25,3881
2025-11-05 14:36:00+00:00,197.58999633789062,197.58999633789062,197.21499633789062,197.21499633789062,2191
2025-11-05 14:37:00+00:00,197.8800048828125,197.8800048828125,197.42999267578125,197.42999267578125,1769
2025-11-05 14:38:00+00:00,197.23500061035156,197.8699951171875,197.10000610351562,197.72250366210938,6865
2025-11-05 14:39:00+00:00,197.47000122070312,197.6199951171875,197.23500061035156,197.23500061035156,2478
2025-11-05 14:40:00+00:00,197.50999450683594,197.50999450683594,197.38600158691406,197.38600158691406,5797
2025-11-05 14:41:00+00:00,197.3000030517578,197.49000549316406,197.25,197.47000122070312,3208
2025-11-05 14:42:00+00:00,197.58999633789062,197.58999633789062,197.2301025390625,197.4499969482422,1764
2025-11-05 14:43:00+00:00,197.3800048828125,197.38999938964844,197.17449951171875,197.2449951171875,2188
2025-11-05 14:44:00+00:00,197.27000427246094,197.3800048828125,197.25,197.3800048828125,2383
2025-11-05 14:45:00+00:00,197.27000427246094,197.33999633789062,197.22999572753906,197.30999755859375,2974
2025-11-05 14:46:00+00:00,197.2449951171875,197.3000030517578,197.0861053466797,197.24000549316406,2038
2025-11-05 14:47:00+00:00,197.24000549316406,197.33999633789062,197.24000549316406,197.33999633789062,3742
2025-11-05 14:48:00+00:00,197.3249969482422,197.3300018310547,197.23500061035156,197.23500061035156,2439
